"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 10 13:08:26 GMT 2022","Thu Nov 10 13:08:59 GMT 2022","32284","Test_Suite_Emulator_Pixel_4","Tests_on_Emulator_Pixel_4","com.appium.runners.TestNGRunner_Pixel3","com.appium.runners.TestNGRunner_Pixel3","scenario","Runs Cucumber Scenarios",""
"failed","Thu Nov 10 13:07:33 GMT 2022","Thu Nov 10 13:08:26 GMT 2022","53669","Test_Suite_Emulator_Pixel_4","Tests_on_Emulator_Pixel_4","com.appium.runners.TestNGRunner_Pixel3","com.appium.runners.TestNGRunner_Pixel3","scenario","Runs Cucumber Scenarios",""
"broken","Thu Nov 10 13:08:59 GMT 2022","Thu Nov 10 13:10:37 GMT 2022","98498","Test_Suite_Emulator_Pixel_4","Tests_on_Emulator_Pixel_4","com.appium.runners.TestNGRunner_Pixel3","com.appium.runners.TestNGRunner_Pixel3","scenario","Runs Cucumber Scenarios",""
