"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 10 13:07:56 GMT 2022","Thu Nov 10 13:08:42 GMT 2022","46213","Test_Suite_Emulator_Pixel_4","Tests_on_Emulator_Pixel_4","com.appium.runners.TestNGRunner_Pixel3","com.appium.runners.TestNGRunner_Pixel3","scenario","Runs Cucumber Scenarios",""
"broken","Thu Nov 10 13:08:42 GMT 2022","Thu Nov 10 13:09:32 GMT 2022","50488","Test_Suite_Emulator_Pixel_4","Tests_on_Emulator_Pixel_4","com.appium.runners.TestNGRunner_Pixel3","com.appium.runners.TestNGRunner_Pixel3","scenario","Runs Cucumber Scenarios",""
"failed","Thu Nov 10 13:06:52 GMT 2022","Thu Nov 10 13:07:55 GMT 2022","63239","Test_Suite_Emulator_Pixel_4","Tests_on_Emulator_Pixel_4","com.appium.runners.TestNGRunner_Pixel3","com.appium.runners.TestNGRunner_Pixel3","scenario","Runs Cucumber Scenarios",""
